"","x"
"102","@Allthatjewelry @jim_lewis1018 @smidge9099 @LadyChesapeake @WhiteHouse @BIGSEXYYT Personal question....did you grad… https://t.co/KwAHi0Uny1"
"103","@FLOTUS @WhiteHouse Many dead, including women and children, in mindless CHEMICAL attack in Syria. Area of atrocity… https://t.co/0dPzVOE9Ux"
"104","@RodneyH20797762 @FoxNews @realDonaldTrump @WhiteHouse If it makes the citizens of that county to feel safe and sec… https://t.co/xp6X1QwMhW"
"105","@bellawhite1954 @FoxNews @realDonaldTrump @washingtonpost The news media is not fake, it is gullible. And @Potus pl… https://t.co/AvLRD1mt6O"
"106","@WhiteHouse Buzzfeed’s @JasonLeopold submitted a Freedom of Information Act request to EPA for records of any death… https://t.co/rUehqc5pxQ"
"107","@We_R_an0nym0us @reason2sense @nytimes @POTUS @WhiteHouse @realDonaldTrump All I can say again and again is Thank Y… https://t.co/PX7DP5vjea"
"108","@SputnikInt @MarkSleboda1 @WhiteHouse Is the US willing to put everything on the table over Syria?   Ask… https://t.co/Ozw223dy0T"
"109","@realDonaldTrump @WhiteHouse @PressSec @KellyannePolls @SebGorka @seanhannity @JesseBWatters @PeteHegseth… https://t.co/UW14ZthIX4"
"110","@MillennialStorm @VikingBearGod @LockDemsUp @lilhobo17 @loudmouthdad @JoanneColombo @1_bammom @joshdcaplan… https://t.co/Hfm5sKu49D"
"111","@WhiteHouse 
Donald J. Trump
<U+2714>
@realDonaldTrump
We should stay the hell out of Syria, the ""rebels"" are just as bad… https://t.co/dppG2K5sTj"
"112","@HuntsmanAbby @edhenry @EPAScottPruitt @realDonaldTrump @Reince @PeteHegseth @IvankaTrump @EricTrump… https://t.co/Grl1eKCAIG"
"113","@ArtieVandelay1 @WhiteHouse Bet the Democrats who use you can't even remember your names! ASK ONE OF THEM!"
"114","@WSJ Reporting on communication from the North Koreans to the US regarding denuclearisation in the assertive &amp; soft… https://t.co/8oyVrNCF1h"
"115","@HuntsmanAbby @edhenry @EPAScottPruitt @realDonaldTrump @Reince @PeteHegseth @IvankaTrump @EricTrump… https://t.co/ULy1S4ppRS"
"116","@MaryRuth58 @smidge9099 @LadyChesapeake @jim_lewis1018 @WhiteHouse @BIGSEXYYT  https://t.co/PLYTlqqMlk"
"117","@raorups @RealJamesWoods @TrickyN03859925 @facebook @WhiteHouse Yes, we have a President who truly loves OUR countr… https://t.co/nHeCGdTAj6"
"118","@HouseDemocrats @GOP @HouseGOP @SenateGOP @SenateDems @SenateMajLdr @SpeakerRyan @WhiteHouse @POTUS… https://t.co/tf0EJ7movh"
"119","@StollmeyerEU @eu_eeas @MajaEUspox #WarCrimes 
@WhiteHouse 
@StateDept 
@realDonaldTrump 
@VP 
@POTUS 
@FLOTUS… https://t.co/hj7MCuKeeN"
"120","@Loz_Whitehouse @Garratt7 @AVFCOfficial yeah :) I'm a animal lover like you :)"
"121","1/2 ‘When you lose that power’: How John Kelly faded as White House disciplinarian. 
https://t.co/DWEnedikvH… https://t.co/b55RBbZYcX"
"122","https://t.co/iOKPAqKswp #Casino #Cards #POTUS #Trump Marina #NewJersey #poker #blackjack #gambling #mancave… https://t.co/ZxEstD0u1L"
"123","@MaryRuth58 @smidge9099 @LadyChesapeake @jim_lewis1018 @WhiteHouse @BIGSEXYYT Your the racists starter calling ppl… https://t.co/z7BVWnoJVA"
"124","@realDonaldTrump @KerstiKaljulaid @Grybauskaite_LT @Vejonis @WhiteHouse I don't think he knows where these countries are"
"125","@FoxNews @KatrinaPierson @MichelleObama @HillaryClinton @WhiteHouse Hahaha that's hilarious.  You fox people are hi… https://t.co/VwJqmpSfuh"
